845.75165	1	17
98.85632	1	11
153.51953	1	11
68.50621	1	12
156.80711	1	10
427.62296	1	8
552.15326	1	7
64.38805	1	10
23.167595	1	8
305.0292	1	7
228.21057	1	10
38.514557	1	6
523.9551	1	8
43.537537	1	8
43.537537	1	7
332.4435	1	8
89.45147	1	6
55.51843	1	7
5.1668577	0	6
183.94263	1	9
2099.0317	0	6
33.707504	1	6
33.707504	0	5
96.30761	0	6
93.28317	1	8
15.431331	0	5
118.08101	0	8
308.90085	1	9
111.53839	1	10
143.51633	1	9
15.539921	1	8
176.33023	1	7
176.33023	1	7
56.556557	1	7
507.92645	1	12
176.44528	1	7
9.113481	1	7
2675.0916	1	7
349.22144	1	6
958.20685	1	6
1542.378	0	11
824.75073	0	11
92.30029	0	7
267.37793	1	8
20.239614	1	8
16.656502	1	8
388.13837	1	8
169.52046	1	10
105.88272	0	8
51.63531	0	9
239.79628	1	11
57.510067	1	9
13.212747	1	8
1114.4631	1	7
127.99078	0	10
286.77396	1	11
1882.4636	1	8
1882.4636	0	8
430.72333	1	11
574.55304	1	11
190.3424	1	8
106.972435	0	8
1421.787	0	8
704.0776	0	8
10.726298	1	7
21.981274	0	9
654.7759	0	10
48.34707	1	9
53.50961	1	7
1942.3889	1	10
9594.757	1	8
83.34856	1	8
212.98918	1	8
36.29797	1	10
105.84622	1	11
1088.4597	1	6
582.8831	1	9
178.07507	1	7
557.10486	0	7
3790.3997	1	8
5340.607	1	7
181.89874	1	9
17834.174	1	7
29.543571	0	9
319.9358	1	12
3.2972248	0	5
31.002327	0	6
306.34924	1	7
76.76624	1	13
68.15039	1	14
185.97081	1	19
15.321289	1	6
71.50762	1	13
2205.5388	1	8
111.40848	1	8
2226.722	0	7
197.19461	1	6
122.28945	1	7
800.8825	1	10
450.43112	1	11
345.81595	1	11
349.80243	1	11
378.11984	1	11
468.7762	0	11
246.12778	1	12
126.95001	1	13
172.80998	1	14
186.11702	1	14
239.90448	1	19
295.28925	1	15
229.90889	1	17
301.8135	1	17
153.11298	1	14
251.30818	0	14
129.85994	1	13
348.07266	0	13
112.264595	1	14
